path,noisy_labels_0,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n02979186/n02979186_10546.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_16559.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_16253.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_6335.JPEG,n02979186,n02979186,n02979186,n03425413,n03445777,False
train/n02979186/n02979186_4665.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_14793.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10289.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_947.JPEG,n02979186,n02979186,n02979186,n02102040,n03888257,False
train/n02979186/n02979186_1783.JPEG,n02979186,n02979186,n02979186,n03445777,n02979186,False
train/n02979186/n02979186_25427.JPEG,n02979186,n02979186,n02979186,n03888257,n02979186,False
train/n02979186/n02979186_5779.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_9155.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_11524.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_27643.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_12008.JPEG,n02979186,n02979186,n02979186,n03028079,n03888257,False
train/n02979186/n02979186_9858.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_11976.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_9914.JPEG,n02979186,n02979186,n03425413,n03425413,n03000684,False
train/n02979186/n02979186_7166.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2563.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_293.JPEG,n02979186,n02979186,n02979186,n03028079,n03888257,False
train/n02979186/n02979186_569.JPEG,n02979186,n02979186,n02979186,n03445777,n01440764,False
train/n02979186/n02979186_6046.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,False
train/n02979186/n02979186_17757.JPEG,n02979186,n02979186,n02979186,n03425413,n02979186,False
train/n02979186/n02979186_16277.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_8227.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_4313.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_1148.JPEG,n02979186,n02979186,n02979186,n03000684,n03394916,False
train/n02979186/n02979186_4266.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_9873.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_1408.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_6203.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_16933.JPEG,n02979186,n02979186,n03425413,n02979186,n02979186,False
train/n02979186/n02979186_16825.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3104.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_16667.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_9394.JPEG,n02979186,n02979186,n02979186,n03000684,n03394916,False
train/n02979186/n02979186_12049.JPEG,n02979186,n02979186,n02979186,n03445777,n03000684,False
train/n02979186/n02979186_20224.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/ILSVRC2012_val_00047974.JPEG,n02979186,n02979186,n02979186,n03394916,n03445777,False
train/n02979186/n02979186_2965.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_22164.JPEG,n02979186,n02979186,n02979186,n02102040,n03028079,False
train/n02979186/ILSVRC2012_val_00016648.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_12236.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3556.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10993.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_529.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_14496.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_1823.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10715.JPEG,n02979186,n02979186,n02979186,n03000684,n01440764,False
train/n02979186/n02979186_20937.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_5353.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_15213.JPEG,n02979186,n02979186,n02979186,n01440764,n03394916,False
train/n02979186/ILSVRC2012_val_00037988.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_23733.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_4704.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_23516.JPEG,n02979186,n02979186,n02979186,n03445777,n02979186,False
train/n02979186/n02979186_3603.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3926.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_2083.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_9688.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_19444.JPEG,n02979186,n02979186,n02979186,n03028079,n03394916,False
train/n02979186/n02979186_15169.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_3009.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_24027.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2163.JPEG,n02979186,n02979186,n02102040,n03394916,n02979186,False
train/n02979186/n02979186_9339.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_21318.JPEG,n02979186,n02979186,n02979186,n03888257,n02979186,False
train/n02979186/n02979186_15154.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_10706.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_734.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_9863.JPEG,n02979186,n02979186,n02979186,n03888257,n02102040,False
train/n02979186/n02979186_27494.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_11839.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_27347.JPEG,n02979186,n02979186,n02979186,n03425413,n02979186,False
train/n02979186/n02979186_5346.JPEG,n02979186,n02979186,n02979186,n02102040,n02102040,False
train/n02979186/n02979186_15096.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_6899.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_9449.JPEG,n02979186,n02979186,n02102040,n02979186,n02979186,False
train/n02979186/n02979186_15747.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,False
train/n02979186/n02979186_4059.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2558.JPEG,n02979186,n03417042,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2853.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_6616.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_25977.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_9567.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_14575.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_21934.JPEG,n02979186,n02979186,n02979186,n03028079,n02979186,False
train/n02979186/n02979186_13443.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_357.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13055.JPEG,n02979186,n02979186,n03888257,n02979186,n03417042,False
train/n02979186/n02979186_5906.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_18283.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10365.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_4024.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_1658.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,False
train/n02979186/n02979186_8409.JPEG,n02979186,n02979186,n02979186,n02102040,n02979186,False
train/n02979186/n02979186_11833.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_1587.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_21298.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_14524.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_9798.JPEG,n02979186,n02979186,n01440764,n02979186,n03394916,False
train/n02979186/n02979186_9587.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_7505.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_287.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_14357.JPEG,n02979186,n02979186,n02979186,n03425413,n02979186,False
train/n02979186/n02979186_5424.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_20198.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/ILSVRC2012_val_00017775.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_678.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_8736.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_23514.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_10313.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_2597.JPEG,n02979186,n02979186,n02979186,n02102040,n02979186,False
train/n02979186/n02979186_3579.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_4404.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_5027.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_18114.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_11656.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_9717.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_16227.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_553.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_10098.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_4479.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_13053.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_15766.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_5853.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_9328.JPEG,n02979186,n02979186,n02979186,n03417042,n03394916,False
train/n02979186/n02979186_3716.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_2607.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_23188.JPEG,n02979186,n02979186,n02979186,n03028079,n03028079,False
train/n02979186/n02979186_8956.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_8587.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_333.JPEG,n02979186,n02979186,n02979186,n03417042,n02979186,False
train/n02979186/n02979186_7529.JPEG,n02979186,n02979186,n03417042,n02979186,n02979186,False
train/n02979186/n02979186_8875.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_16837.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_27246.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,False
train/n02979186/n02979186_5856.JPEG,n02979186,n02979186,n03445777,n02979186,n02979186,False
train/n02979186/n02979186_2625.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_11063.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_14353.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_17829.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_2077.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_10755.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/ILSVRC2012_val_00027735.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_21784.JPEG,n02979186,n02979186,n02979186,n03417042,n02979186,False
train/n02979186/n02979186_11769.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_25956.JPEG,n02979186,n02979186,n02979186,n03445777,n03888257,False
train/n02979186/n02979186_14536.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13764.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_93.JPEG,n02979186,n02979186,n02979186,n01440764,n03394916,False
train/n02979186/n02979186_13636.JPEG,n02979186,n02979186,n02979186,n03000684,n02102040,False
train/n02979186/ILSVRC2012_val_00009833.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_26517.JPEG,n02979186,n02979186,n02979186,n03028079,n02102040,False
train/n02979186/n02979186_6636.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_18057.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_17277.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3659.JPEG,n02979186,n02979186,n02979186,n03394916,n03888257,False
train/n02979186/n02979186_15953.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_5695.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_21086.JPEG,n02979186,n02979186,n02979186,n03888257,n02979186,False
train/n02979186/ILSVRC2012_val_00002034.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_465.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_14773.JPEG,n02979186,n02979186,n03417042,n02979186,n02102040,False
train/n02979186/n02979186_16515.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_15305.JPEG,n02979186,n02979186,n02979186,n03417042,n02102040,False
train/n02979186/n02979186_13019.JPEG,n02979186,n02979186,n02979186,n03888257,n02979186,False
train/n02979186/n02979186_10496.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3764.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2774.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_26283.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_19036.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3504.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_22929.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3873.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2316.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/ILSVRC2012_val_00029663.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_9646.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_11699.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_4526.JPEG,n02979186,n02979186,n02979186,n02102040,n02979186,False
train/n02979186/n02979186_6218.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2887.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_21024.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13543.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_22037.JPEG,n02979186,n02979186,n02979186,n03028079,n03394916,False
train/n02979186/n02979186_11863.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_3428.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,False
train/n02979186/n02979186_13015.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_3525.JPEG,n02979186,n02979186,n02979186,n03425413,n03028079,False
train/n02979186/n02979186_10523.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_15278.JPEG,n02979186,n02979186,n02979186,n03888257,n03888257,False
train/n02979186/n02979186_18348.JPEG,n02979186,n02979186,n02979186,n03425413,n03888257,False
train/n02979186/n02979186_22659.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_7536.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,False
train/n02979186/n02979186_14278.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_23078.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_2186.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_23329.JPEG,n02979186,n02979186,n02979186,n03417042,n03394916,False
train/n02979186/n02979186_3345.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_7147.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_18069.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_16819.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_10744.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,False
train/n02979186/n02979186_15046.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2513.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_9153.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_13027.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_439.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_11543.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_12553.JPEG,n02979186,n02979186,n02979186,n03445777,n01440764,False
train/n02979186/n02979186_2265.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_14758.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_6474.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_4598.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13206.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_26944.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_14767.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_5433.JPEG,n02979186,n02979186,n02979186,n02102040,n02979186,False
train/n02979186/n02979186_14553.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_8089.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13626.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2549.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10437.JPEG,n02979186,n02979186,n02979186,n03000684,n03000684,False
train/n02979186/n02979186_27619.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_9118.JPEG,n02979186,n02979186,n02979186,n03888257,n03417042,False
train/n02979186/ILSVRC2012_val_00017463.JPEG,n02979186,n03394916,n03000684,n02979186,n01440764,False
train/n02979186/n02979186_1115.JPEG,n02979186,n02979186,n02979186,n03888257,n03445777,False
train/n02979186/n02979186_16275.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_20037.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_5079.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2964.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_449.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,False
train/n02979186/n02979186_7288.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,False
train/n02979186/n02979186_15567.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_11865.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_7468.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_4624.JPEG,n02979186,n02979186,n03888257,n02979186,n03425413,False
train/n02979186/n02979186_4737.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_21725.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_27539.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_21029.JPEG,n02979186,n02979186,n02979186,n03445777,n02102040,False
train/n02979186/n02979186_6096.JPEG,n02979186,n02979186,n02979186,n03394916,n03425413,False
train/n02979186/n02979186_26997.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_1159.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_5807.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,False
train/n02979186/n02979186_5495.JPEG,n02979186,n02979186,n02979186,n03445777,n03000684,False
train/n02979186/n02979186_5739.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,False
train/n02979186/n02979186_16736.JPEG,n02979186,n02979186,n02979186,n03425413,n03028079,False
train/n02979186/n02979186_19634.JPEG,n02979186,n02979186,n02979186,n03394916,n03417042,False
train/n02979186/n02979186_19604.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2587.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_10874.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_22675.JPEG,n02979186,n02979186,n02979186,n03000684,n03394916,False
train/n02979186/n02979186_20285.JPEG,n02979186,n02979186,n02979186,n01440764,n02979186,False
train/n02979186/n02979186_12025.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,False
train/n02979186/n02979186_14137.JPEG,n02979186,n02979186,n02979186,n03417042,n03445777,False
train/n02979186/n02979186_25159.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_73.JPEG,n02979186,n02979186,n03000684,n02979186,n02979186,False
train/n02979186/n02979186_15694.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_13289.JPEG,n02979186,n02979186,n02979186,n03000684,n01440764,False
train/n02979186/n02979186_20416.JPEG,n02979186,n02979186,n02979186,n03394916,n03425413,False
train/n02979186/n02979186_9918.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,False
train/n02979186/n02979186_24829.JPEG,n02979186,n02979186,n02979186,n03888257,n03417042,False
train/n02979186/n02979186_25129.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_2949.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_19337.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_577.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_11713.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
